trial_id,filler_or_item_id,position_condition,agent_in_picture,agent_in_question,verb_in_picture,verb_in_question,patient_in_picture,patient_in_question,picture_file,question_file,answer_script
13,item_02,Patient,Bonnie,Bonnie,Kiss,Kiss,Benny,Freddy,BonnieIsKissingBenny.png,IsBonnieKissingFreddy.wav,No Bonnie is kissing Benny.
14,item_02,Patient,Bonnie,Bonnie,Kiss,Kiss,Benny,Ronnie,BonnieIsKissingBenny.png,IsBonnieKissingRonnie.wav,No Bonnie is kissing Benny.
15,item_02,Control,Bonnie,Bonnie,Kiss,Kiss,Benny,Benny,BonnieIsKissingBenny.png,IsBonnieKissingBenny.wav,Yes Bonnie is kissing Benny.
16,item_02,Control,Bonnie,Bonnie,Kiss,Kiss,Benny,Benny,BonnieIsKissingBenny.png,IsBonnieKissingBenny.wav,Yes Bonnie is kissing Benny.
17,item_03,Agent,Joey,Timmy,Push,Push,Kerry,Kerry,JoeyIsPushingKerry.png,IsTimmyPushingKerry.wav,No Joey is pushing Kerry.
18,item_03,Agent,Joey,Wally,Push,Push,Kerry,Kerry,JoeyIsPushingKerry.png,IsWallyPushingKerry.wav,No Joey is pushing Kerry.
19,item_03,Verb,Joey,Joey,Push,Lift,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyLiftingKerry.wav,No Joey is pushing Kerry.
20,item_03,Verb,Joey,Joey,Push,Kick,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyKickingKerry.wav,No Joey is pushing Kerry.
21,item_03,Patient,Joey,Joey,Push,Push,Kerry,Hailey,JoeyIsPushingKerry.png,IsJoeyPushingHailey.wav,No Joey is pushing Kerry.
22,item_03,Patient,Joey,Joey,Push,Push,Kerry,Laurie,JoeyIsPushingKerry.png,IsJoeyPushingLaurie.wav,No Joey is pushing Kerry.
23,item_03,Control,Joey,Joey,Push,Push,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyPushingKerry.wav,Yes Joey is pushing Kerry.
24,item_03,Control,Joey,Joey,Push,Push,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyPushingKerry.wav,Yes Joey is pushing Kerry.
25,item_04,Agent,Kelly,Jenny,Pull,Pull,Judy,Judy,KellyIsPullingJudy.png,IsJennyPullingJudy.wav,No Kelly is pulling Judy.
26,item_04,Agent,Kelly,Franny,Pull,Pull,Judy,Judy,KellyIsPullingJudy.png,IsFrannyPullingJudy.wav,No Kelly is pulling Judy.
27,item_04,Verb,Kelly,Kelly,Pull,Kick,Judy,Judy,KellyIsPullingJudy.png,IsKellyKickingJudy.wav,No Kelly is pulling Judy.
28,item_04,Verb,Kelly,Kelly,Pull,Kick,Judy,Judy,KellyIsPullingJudy.png,IsKellyKickingJudy.wav,No Kelly is pulling Judy.
29,item_04,Patient,Kelly,Kelly,Pull,Pull,Judy,Brandy,KellyIsPullingJudy.png,IsKellyPullingBrandy.wav,No Kelly is pulling Judy.
30,item_04,Patient,Kelly,Kelly,Pull,Pull,Judy,Carrie,KellyIsPullingJudy.png,IsKellyPullingCarrie.wav,No Kelly is pulling Judy.
31,item_04,Control,Kelly,Kelly,Pull,Pull,Judy,Judy,KellyIsPullingJudy.png,IsKellyPullingJudy.wav,Yes Kelly is pulling Judy.
32,item_04,Control,Kelly,Kelly,Pull,Pull,Judy,Judy,KellyIsPullingJudy.png,IsKellyPullingJudy.wav,Yes Kelly is pulling Judy.
33,filler_01,Agent,Vicky,Cindy,Pull,Pull,Penny,Penny,VickyIsPullingPenny.png,IsCindyPullingPenny.wav,No Vicky is pulling Penny.
34,filler_02,Patient,Henry,Henry,Lift,Lift,Ronnie,Johnny,HenryIsLiftingRonnie.png,IsHenryLiftingJohnny.wav,No Henry is lifting Ronnie.
35,filler_03,Agent,Sammy,Teddy,Push,Push,Mindy,Mindy,SammyIsPushingMindy.png,IsTeddyPushingMindy.wav,No Sammy is pushing Mindy.
36,filler_04,Verb,Brandy,Brandy,Kick,Kiss,Sammy,Sammy,BrandyIsKickingSammy.png,IsBrandyKissingSammy.wav,No Brandy is kicking Sammy.
37,filler_05,Agent,Sally,Betty,Kick,Kick,Timmy,Timmy,SallyIsKickingTimmy.png,IsBettyKickingTimmy.wav,No Sally is kicking Timmy.
38,filler_06,Verb,Henry,Henry,Pull,Lift,Ollie,Ollie,HenryIsPullingOllie.png,IsHenryLiftingOllie.wav,No Henry is pulling Ollie.
39,filler_07,Agent,Tracy,Cindy,Pull,Pull,Brandy,Brandy,TracyIsPullingBrandy.png,IsCindyPullingBrandy.wav,No Tracy is pulling Brandy.
40,filler_08,Agent,Chloe,Mindy,Kiss,Kiss,Kenny,Kenny,ChloeIsKissingKenny.png,IsMindyKissingKenny.wav,No Chloe is kissing Kenny.
41,filler_09,Patient,Nancy,Nancy,Kiss,Kiss,Danny,Harvey,NancyIsKissingDanny.png,IsNancyKissingHarvey.wav,No Nancy is kissing Danny.
42,filler_10,Agent,Mandy,Molly,Kick,Kick,Timmy,Timmy,MandyIsKickingTimmy.png,IsMollyKickingTimmy.wav,No Mandy is kicking Timmy.
43,filler_11,Verb,Ronnie,Ronnie,Kiss,Push,Molly,Molly,RonnieIsKissingMolly.png,IsRonniePushingMolly.wav,No Ronnie is kissing Molly.
44,filler_12,Patient,Tracy,Tracy,Pull,Pull,Mindy,Franny,TracyIsPullingMindy.png,IsTracyPullingFranny.wav,No Tracy is pulling Mindy.
45,filler_13,Agent,Davey,Harvey,Push,Push,Tracy,Tracy,DaveyIsPushingTracy.png,IsHarveyPushingTracy.wav,No Davey is pushing Tracy.
46,filler_14,Verb,Chloe,Chloe,Push,Kick,Jerry,Jerry,ChloeIsPushingJerry.png,IsChloeKickingJerry.wav,No Chloe is pushing Jerry.
47,filler_15,Verb,Laurie,Laurie,Kick,Poke,Sally,Sally,LaurieIsKickingSally.png,IsLauriePokingSally.wav,No Laurie is kicking Sally.
48,filler_16,Agent,Sammy,Percy,Push,Push,Hailey,Hailey,SammyIsPushingHailey.png,IsPercyPushingHailey.wav,No Sammy is pushing Hailey.
49,filler_17,Patient,Lacey,Lacey,Pull,Pull,Carlie,Franny,LaceyIsPullingCarlie.png,IsLaceyPullingFranny.wav,No Lacey is pulling Carlie.
50,filler_18,Agent,Vicky,Mandy,Poke,Poke,Molly,Molly,VickyIsPokingMolly.png,IsMandyPokingMolly.wav,No Vicky is pokeing Molly.
51,filler_19,Agent,Kenny,Henry,Push,Push,Tracy,Tracy,KennyIsPushingTracy.png,IsHenryPushingTracy.wav,No Kenny is pushing Tracy.
52,filler_20,Agent,Jerry,Danny,Lift,Lift,Wally,Wally,JerryIsLiftingWally.png,IsDannyLiftingWally.wav,No Jerry is lifting Wally.
53,filler_21,Agent,Wally,Johnny,Push,Push,Carrie,Carrie,WallyIsPushingCarrie.png,IsJohnnyPushingCarrie.wav,No Wally is pushing Carrie.
54,filler_22,Verb,Lacey,Lacey,Push,Poke,Vicky,Vicky,LaceyIsPushingVicky.png,IsLaceyPokingVicky.wav,No Lacey is pushing Vicky.
55,filler_23,Patient,Kenny,Kenny,Push,Push,Sally,Mindy,KennyIsPushingSally.png,IsKennyPushingMindy.wav,No Kenny is pushing Sally.
56,filler_24,Agent,Mindy,Jenny,Pull,Pull,Mandy,Mandy,MindyIsPullingMandy.png,IsJennyPullingMandy.wav,No Mindy is pulling Mandy.
57,filler_25,Control,Jenny,Jenny,Poke,Poke,Lilly,Lilly,JennyIsPokingLilly.png,IsJennyPokingLilly.wav,Yes Jenny is pokeing Lilly.
58,filler_26,Control,Ollie,Ollie,Push,Push,Lacey,Lacey,OllieIsPushingLacey.png,IsOlliePushingLacey.wav,Yes Ollie is pushing Lacey.
59,filler_27,Control,Sally,Sally,Kick,Kick,Ollie,Ollie,SallyIsKickingOllie.png,IsSallyKickingOllie.wav,Yes Sally is kicking Ollie.
60,filler_28,Control,Jenny,Jenny,Kick,Kick,Danny,Danny,JennyIsKickingDanny.png,IsJennyKickingDanny.wav,Yes Jenny is kicking Danny.
61,filler_29,Control,Nancy,Nancy,Kiss,Kiss,Ollie,Ollie,NancyIsKissingOllie.png,IsNancyKissingOllie.wav,Yes Nancy is kissing Ollie.
62,filler_30,Control,Lilly,Lilly,Pull,Pull,Betty,Betty,LillyIsPullingBetty.png,IsLillyPullingBetty.wav,Yes Lilly is pulling Betty.
63,filler_31,Control,Chloe,Chloe,Kick,Kick,Ronnie,Ronnie,ChloeIsKickingRonnie.png,IsChloeKickingRonnie.wav,Yes Chloe is kicking Ronnie.
64,filler_32,Control,Betty,Betty,Kick,Kick,Harvey,Harvey,BettyIsKickingHarvey.png,IsBettyKickingHarvey.wav,Yes Betty is kicking Harvey.
65,filler_33,Control,Betty,Betty,Pull,Pull,Molly,Molly,BettyIsPullingMolly.png,IsBettyPullingMolly.wav,Yes Betty is pulling Molly.
66,filler_34,Control,Franny,Franny,Kick,Kick,Johnny,Johnny,FrannyIsKickingJohnny.png,IsFrannyKickingJohnny.wav,Yes Franny is kicking Johnny.
67,filler_35,Control,Lilly,Lilly,Kick,Kick,Percy,Percy,LillyIsKickingPercy.png,IsLillyKickingPercy.wav,Yes Lilly is kicking Percy.
68,filler_36,Control,Vicky,Vicky,Kiss,Kiss,Freddy,Freddy,VickyIsKissingFreddy.png,IsVickyKissingFreddy.wav,Yes Vicky is kissing Freddy.
69,filler_37,Control,Freddy,Freddy,Push,Push,Molly,Molly,FreddyIsPushingMolly.png,IsFreddyPushingMolly.wav,Yes Freddy is pushing Molly.
70,filler_38,Control,Sally,Sally,Kick,Kick,Kenny,Kenny,SallyIsKickingKenny.png,IsSallyKickingKenny.wav,Yes Sally is kicking Kenny.
71,filler_39,Control,Brandy,Brandy,Kiss,Kiss,Johnny,Johnny,BrandyIsKissingJohnny.png,IsBrandyKissingJohnny.wav,Yes Brandy is kissing Johnny.
72,filler_40,Control,Chloe,Chloe,Kiss,Kiss,Kenny,Kenny,ChloeIsKissingKenny.png,IsChloeKissingKenny.wav,Yes Chloe is kissing Kenny.
