trial_id,agent_in_picture,agent_in_question,filler_or_item_id,patient_in_picture,patient_in_question,position_condition,verb_in_picture,verb_in_question,picture_file,question_file,answer_script
30,Sandy,Sandy,item_04,Penny,Dory,Patient,Pull,Pull,Sandy_is_Pulling_Penny.png,Is_Sandy_Pulling_Dory.wav,No Sandy is Pulling Penny.
31,Sandy,Sandy,item_04,Penny,Penny,Control,Pull,Pull,Sandy_is_Pulling_Penny.png,Is_Sandy_Pulling_Penny.wav,Yes Sandy is Pulling Penny.
32,Sandy,Sandy,item_04,Penny,Penny,Control,Pull,Pull,Sandy_is_Pulling_Penny.png,Is_Sandy_Pulling_Penny.wav,Yes Sandy is Pulling Penny.
33,Chloe,Chloe,filler_01,Franny,Franny,Verb,Lift,Pull,Chloe_is_Lifting_Franny.png,Is_Chloe_Pulling_Franny.wav,No Chloe is Lifting Franny.
34,Garry,Johnny,filler_02,Percy,Percy,Agent,Lift,Lift,Garry_is_Lifting_Percy.png,Is_Johnny_Lifting_Percy.wav,No Garry is Lifting Percy.
35,Kenny,Kenny,filler_03,Carlie,Lacey,Patient,Push,Push,Kenny_is_Pushing_Carlie.png,Is_Kenny_Pushing_Lacey.wav,No Kenny is Pushing Carlie.
36,Franny,Franny,filler_04,Garry,Garry,Verb,Kick,Kiss,Franny_is_Kicking_Garry.png,Is_Franny_Kissing_Garry.wav,No Franny is Kicking Garry.
37,Jenny,Jenny,filler_05,Eddie,Johnny,Patient,Kick,Kick,Jenny_is_Kicking_Eddie.png,Is_Jenny_Kicking_Johnny.wav,No Jenny is Kicking Eddie.
38,Percy,Johnny,filler_06,Teddy,Teddy,Agent,Lift,Lift,Percy_is_Lifting_Teddy.png,Is_Johnny_Lifting_Teddy.wav,No Percy is Lifting Teddy.
39,Chloe,Chloe,filler_07,Mindy,Kelly,Patient,Pull,Pull,Chloe_is_Pulling_Mindy.png,Is_Chloe_Pulling_Kelly.wav,No Chloe is Pulling Mindy.
40,Laurie,Laurie,filler_08,Garry,Garry,Verb,Push,Kiss,Laurie_is_Pushing_Garry.png,Is_Laurie_Kissing_Garry.wav,No Laurie is Pushing Garry.
41,Annie,Annie,filler_09,Ronnie,Freedy,Patient,Kiss,Kiss,Annie_is_Kissing_Ronnie.png,Is_Annie_Kissing_Freedy.wav,No Annie is Kissing Ronnie.
42,Merry,Lindy,filler_10,Cody,Cody,Agent,Kick,Kick,Merry_is_Kicking_Cody.png,Is_Lindy_Kicking_Cody.wav,No Merry is Kicking Cody.
43,Eddie,Billy,filler_11,Mandy,Mandy,Agent,Push,Push,Eddie_is_Pushing_Mandy.png,Is_Billy_Pushing_Mandy.wav,No Eddie is Pushing Mandy.
44,Kimmy,Kimmy,filler_12,Jenny,Kelly,Patient,Pull,Pull,Kimmy_is_Pulling_Jenny.png,Is_Kimmy_Pulling_Kelly.wav,No Kimmy is Pulling Jenny.
45,Freedy,Freedy,filler_13,Mindy,Mindy,Control,Push,Push,Freedy_is_Pushing_Mindy.png,Is_Freedy_Pushing_Mindy.wav,Yes Freedy is Pushing Mindy.
46,Lacey,Lacey,filler_14,Percy,Percy,Control,Kick,Kick,Lacey_is_Kicking_Percy.png,Is_Lacey_Kicking_Percy.wav,Yes Lacey is Kicking Percy.
47,Dolly,Dolly,filler_15,Merry,Merry,Control,Poke,Poke,Dolly_is_Pokeing_Merry.png,Is_Dolly_Pokeing_Merry.wav,Yes Dolly is Pokeing Merry.
48,Teddy,Teddy,filler_16,Merry,Merry,Control,Push,Push,Teddy_is_Pushing_Merry.png,Is_Teddy_Pushing_Merry.wav,Yes Teddy is Pushing Merry.
49,Merry,Merry,filler_17,Chloe,Chloe,Control,Pull,Pull,Merry_is_Pulling_Chloe.png,Is_Merry_Pulling_Chloe.wav,Yes Merry is Pulling Chloe.
50,Chloe,Chloe,filler_18,Dory,Dory,Control,Poke,Poke,Chloe_is_Pokeing_Dory.png,Is_Chloe_Pokeing_Dory.wav,Yes Chloe is Pokeing Dory.
51,Teddy,Teddy,filler_19,Brandy,Brandy,Control,Push,Push,Teddy_is_Pushing_Brandy.png,Is_Teddy_Pushing_Brandy.wav,Yes Teddy is Pushing Brandy.
52,Johnny,Johnny,filler_20,Eddie,Eddie,Control,Lift,Lift,Johnny_is_Lifting_Eddie.png,Is_Johnny_Lifting_Eddie.wav,Yes Johnny is Lifting Eddie.
53,Jerry,Jerry,filler_21,Carlie,Carlie,Control,Push,Push,Jerry_is_Pushing_Carlie.png,Is_Jerry_Pushing_Carlie.wav,Yes Jerry is Pushing Carlie.
54,Larry,Larry,filler_22,Judy,Judy,Control,Poke,Poke,Larry_is_Pokeing_Judy.png,Is_Larry_Pokeing_Judy.wav,Yes Larry is Pokeing Judy.
55,Teddy,Teddy,filler_23,Kelly,Kelly,Control,Push,Push,Teddy_is_Pushing_Kelly.png,Is_Teddy_Pushing_Kelly.wav,Yes Teddy is Pushing Kelly.
56,Carlie,Carlie,filler_24,Mary,Mary,Control,Pull,Pull,Carlie_is_Pulling_Mary.png,Is_Carlie_Pulling_Mary.wav,Yes Carlie is Pulling Mary.
57,Pammy,Pammy,filler_25,Dory,Dory,Control,Poke,Poke,Pammy_is_Pokeing_Dory.png,Is_Pammy_Pokeing_Dory.wav,Yes Pammy is Pokeing Dory.
58,Harvey,Harvey,filler_26,Dolly,Dolly,Control,Push,Push,Harvey_is_Pushing_Dolly.png,Is_Harvey_Pushing_Dolly.wav,Yes Harvey is Pushing Dolly.
59,Mandy,Mandy,filler_27,Jerry,Jerry,Control,Kick,Kick,Mandy_is_Kicking_Jerry.png,Is_Mandy_Kicking_Jerry.wav,Yes Mandy is Kicking Jerry.
60,Pammy,Pammy,filler_28,Billy,Billy,Control,Kick,Kick,Pammy_is_Kicking_Billy.png,Is_Pammy_Kicking_Billy.wav,Yes Pammy is Kicking Billy.
61,Annie,Annie,filler_29,Corey,Corey,Control,Kiss,Kiss,Annie_is_Kissing_Corey.png,Is_Annie_Kissing_Corey.wav,Yes Annie is Kissing Corey.
62,Molly,Molly,filler_30,Chloe,Chloe,Control,Pull,Pull,Molly_is_Pulling_Chloe.png,Is_Molly_Pulling_Chloe.wav,Yes Molly is Pulling Chloe.
63,Lacey,Lacey,filler_31,Danny,Danny,Control,Kick,Kick,Lacey_is_Kicking_Danny.png,Is_Lacey_Kicking_Danny.wav,Yes Lacey is Kicking Danny.
64,Jenny,Jenny,filler_32,Ollie,Ollie,Control,Kick,Kick,Jenny_is_Kicking_Ollie.png,Is_Jenny_Kicking_Ollie.wav,Yes Jenny is Kicking Ollie.
65,Jenny,Jenny,filler_33,Dolly,Dolly,Control,Pull,Pull,Jenny_is_Pulling_Dolly.png,Is_Jenny_Pulling_Dolly.wav,Yes Jenny is Pulling Dolly.
66,Dory,Dory,filler_34,Cody,Cody,Control,Kick,Kick,Dory_is_Kicking_Cody.png,Is_Dory_Kicking_Cody.wav,Yes Dory is Kicking Cody.
67,Molly,Molly,filler_35,Ronnie,Ronnie,Control,Kick,Kick,Molly_is_Kicking_Ronnie.png,Is_Molly_Kicking_Ronnie.wav,Yes Molly is Kicking Ronnie.
68,Betty,Betty,filler_36,Ollie,Ollie,Control,Kiss,Kiss,Betty_is_Kissing_Ollie.png,Is_Betty_Kissing_Ollie.wav,Yes Betty is Kissing Ollie.
69,Andy,Andy,filler_37,Kimmy,Kimmy,Control,Push,Push,Andy_is_Pushing_Kimmy.png,Is_Andy_Pushing_Kimmy.wav,Yes Andy is Pushing Kimmy.
70,Mandy,Mandy,filler_38,Teddy,Teddy,Control,Kick,Kick,Mandy_is_Kicking_Teddy.png,Is_Mandy_Kicking_Teddy.wav,Yes Mandy is Kicking Teddy.
71,Franny,Franny,filler_39,Danny,Danny,Control,Kiss,Kiss,Franny_is_Kissing_Danny.png,Is_Franny_Kissing_Danny.wav,Yes Franny is Kissing Danny.
72,Lacey,Lacey,filler_40,Percy,Percy,Control,Kiss,Kiss,Lacey_is_Kissing_Percy.png,Is_Lacey_Kissing_Percy.wav,Yes Lacey is Kissing Percy.
