trial_id,filler_or_item_id,position_condition,agent_in_question,agent_in_picture,verb_in_question,verb_in_picture,patient_in_question,patient_in_picture,picture_file,question_file,answer_script
28,item_04,Agent,Annie,Sandy,Kick,Kick,Dory,Dory,Sandy_is_Kicking_Dory.png,Is_Annie_Kicking_Dory.wav,No Sandy is Kicking Dory.
47,filler_15,Control,Dolly,Dolly,Poke,Poke,Merry,Merry,Dolly_is_Pokeing_Merry.png,Is_Dolly_Pokeing_Merry.wav,Yes Dolly is Pokeing Merry.
01,item_01,Agent,Kelly,Tori,Pull,Pull,Ronnie,Ronnie,Tori_is_Pulling_Ronnie.png,Is_Kelly_Pulling_Ronnie.wav,No Tori is Pulling Ronnie.
62,filler_30,Control,Molly,Molly,Pull,Pull,Chloe,Chloe,Molly_is_Pulling_Chloe.png,Is_Molly_Pulling_Chloe.wav,Yes Molly is Pulling Chloe.
38,filler_06,Agent,Johnny,Percy,Lift,Lift,Teddy,Teddy,Percy_is_Lifting_Teddy.png,Is_Johnny_Lifting_Teddy.wav,No Percy is Lifting Teddy.
64,filler_32,Control,Jenny,Jenny,Kick,Kick,Ollie,Ollie,Jenny_is_Kicking_Ollie.png,Is_Jenny_Kicking_Ollie.wav,Yes Jenny is Kicking Ollie.
72,filler_40,Control,Lacey,Lacey,Kiss,Kiss,Percy,Percy,Lacey_is_Kissing_Percy.png,Is_Lacey_Kissing_Percy.wav,Yes Lacey is Kissing Percy.
65,filler_33,Control,Jenny,Jenny,Pull,Pull,Dolly,Dolly,Jenny_is_Pulling_Dolly.png,Is_Jenny_Pulling_Dolly.wav,Yes Jenny is Pulling Dolly.
44,filler_12,Patient,Kimmy,Kimmy,Pull,Pull,Kelly,Jenny,Kimmy_is_Pulling_Jenny.png,Is_Kimmy_Pulling_Kelly.wav,No Kimmy is Pulling Jenny.
26,item_04,Verb,Annie,Annie,Kick,Pull,Dory,Dory,Annie_is_Pulling_Dory.png,Is_Annie_Kicking_Dory.wav,No Annie is Pulling Dory.
57,filler_25,Control,Pammy,Pammy,Poke,Poke,Dory,Dory,Pammy_is_Pokeing_Dory.png,Is_Pammy_Pokeing_Dory.wav,Yes Pammy is Pokeing Dory.
70,filler_38,Control,Mandy,Mandy,Kick,Kick,Teddy,Teddy,Mandy_is_Kicking_Teddy.png,Is_Mandy_Kicking_Teddy.wav,Yes Mandy is Kicking Teddy.
55,filler_23,Control,Teddy,Teddy,Push,Push,Kelly,Kelly,Teddy_is_Pushing_Kelly.png,Is_Teddy_Pushing_Kelly.wav,Yes Teddy is Pushing Kelly.
19,item_03,Patient,Percy,Percy,Pull,Pull,Kimmy,Rudy,Percy_is_Pulling_Rudy.png,Is_Percy_Pulling_Kimmy.wav,No Percy is Pulling Rudy.
18,item_03,Verb,Percy,Percy,Pull,Push,Kimmy,Kimmy,Percy_is_Pushing_Kimmy.png,Is_Percy_Pulling_Kimmy.wav,No Percy is Pushing Kimmy.
25,item_04,Agent,Annie,Sandy,Kick,Kick,Dory,Dory,Sandy_is_Kicking_Dory.png,Is_Annie_Kicking_Dory.wav,No Sandy is Kicking Dory.
61,filler_29,Control,Annie,Annie,Kiss,Kiss,Corey,Corey,Annie_is_Kissing_Corey.png,Is_Annie_Kissing_Corey.wav,Yes Annie is Kissing Corey.
52,filler_20,Control,Johnny,Johnny,Lift,Lift,Eddie,Eddie,Johnny_is_Lifting_Eddie.png,Is_Johnny_Lifting_Eddie.wav,Yes Johnny is Lifting Eddie.
49,filler_17,Control,Merry,Merry,Pull,Pull,Chloe,Chloe,Merry_is_Pulling_Chloe.png,Is_Merry_Pulling_Chloe.wav,Yes Merry is Pulling Chloe.
09,item_02,Agent,Chloe,Sanndy,Pull,Pull,Billy,Billy,Sanndy_is_Pulling_Billy.png,Is_Chloe_Pulling_Billy.wav,No Sanndy is Pulling Billy.
63,filler_31,Control,Lacey,Lacey,Kick,Kick,Danny,Danny,Lacey_is_Kicking_Danny.png,Is_Lacey_Kicking_Danny.wav,Yes Lacey is Kicking Danny.
36,filler_04,Verb,Franny,Franny,Kiss,Kick,Garry,Garry,Franny_is_Kicking_Garry.png,Is_Franny_Kissing_Garry.wav,No Franny is Kicking Garry.
40,filler_08,Verb,Laurie,Laurie,Kiss,Push,Garry,Garry,Laurie_is_Pushing_Garry.png,Is_Laurie_Kissing_Garry.wav,No Laurie is Pushing Garry.
10,item_02,Verb,Chloe,Chloe,Pull,Kiss,Billy,Billy,Chloe_is_Kissing_Billy.png,Is_Chloe_Pulling_Billy.wav,No Chloe is Kissing Billy.
29,item_04,Verb,Annie,Annie,Kick,Pull,Dory,Dory,Annie_is_Pulling_Dory.png,Is_Annie_Kicking_Dory.wav,No Annie is Pulling Dory.
22,item_03,Patient,Percy,Percy,Pull,Pull,Kimmy,Rudy,Percy_is_Pulling_Rudy.png,Is_Percy_Pulling_Kimmy.wav,No Percy is Pulling Rudy.
53,filler_21,Control,Jerry,Jerry,Push,Push,Carlie,Carlie,Jerry_is_Pushing_Carlie.png,Is_Jerry_Pushing_Carlie.wav,Yes Jerry is Pushing Carlie.
67,filler_35,Control,Molly,Molly,Kick,Kick,Ronnie,Ronnie,Molly_is_Kicking_Ronnie.png,Is_Molly_Kicking_Ronnie.wav,Yes Molly is Kicking Ronnie.
13,item_02,Verb,Chloe,Chloe,Pull,Kiss,Billy,Billy,Chloe_is_Kissing_Billy.png,Is_Chloe_Pulling_Billy.wav,No Chloe is Kissing Billy.
60,filler_28,Control,Pammy,Pammy,Kick,Kick,Billy,Billy,Pammy_is_Kicking_Billy.png,Is_Pammy_Kicking_Billy.wav,Yes Pammy is Kicking Billy.
68,filler_36,Control,Betty,Betty,Kiss,Kiss,Ollie,Ollie,Betty_is_Kissing_Ollie.png,Is_Betty_Kissing_Ollie.wav,Yes Betty is Kissing Ollie.
21,item_03,Verb,Percy,Percy,Pull,Push,Kimmy,Kimmy,Percy_is_Pushing_Kimmy.png,Is_Percy_Pulling_Kimmy.wav,No Percy is Pushing Kimmy.
24,item_03,Control,Percy,Percy,Pull,Pull,Kimmy,Kimmy,Percy_is_Pulling_Kimmy.png,Is_Percy_Pulling_Kimmy.wav,Yes Percy is Pulling Kimmy.
69,filler_37,Control,Andy,Andy,Push,Push,Kimmy,Kimmy,Andy_is_Pushing_Kimmy.png,Is_Andy_Pushing_Kimmy.wav,Yes Andy is Pushing Kimmy.
15,item_02,Control,Chloe,Chloe,Pull,Pull,Billy,Billy,Chloe_is_Pulling_Billy.png,Is_Chloe_Pulling_Billy.wav,Yes Chloe is Pulling Billy.
39,filler_07,Patient,Chloe,Chloe,Pull,Pull,Kelly,Mindy,Chloe_is_Pulling_Mindy.png,Is_Chloe_Pulling_Kelly.wav,No Chloe is Pulling Mindy.
32,item_04,Control,Annie,Annie,Kick,Kick,Dory,Dory,Annie_is_Kicking_Dory.png,Is_Annie_Kicking_Dory.wav,Yes Annie is Kicking Dory.
58,filler_26,Control,Harvey,Harvey,Push,Push,Dolly,Dolly,Harvey_is_Pushing_Dolly.png,Is_Harvey_Pushing_Dolly.wav,Yes Harvey is Pushing Dolly.
20,item_03,Agent,Percy,Willy,Pull,Pull,Kimmy,Kimmy,Willy_is_Pulling_Kimmy.png,Is_Percy_Pulling_Kimmy.wav,No Willy is Pulling Kimmy.
54,filler_22,Control,Larry,Larry,Poke,Poke,Judy,Judy,Larry_is_Pokeing_Judy.png,Is_Larry_Pokeing_Judy.wav,Yes Larry is Pokeing Judy.
14,item_02,Patient,Chloe,Chloe,Pull,Pull,Billy,Timmy,Chloe_is_Pulling_Timmy.png,Is_Chloe_Pulling_Billy.wav,No Chloe is Pulling Timmy.
56,filler_24,Control,Carlie,Carlie,Pull,Pull,Mary,Mary,Carlie_is_Pulling_Mary.png,Is_Carlie_Pulling_Mary.wav,Yes Carlie is Pulling Mary.
48,filler_16,Control,Teddy,Teddy,Push,Push,Merry,Merry,Teddy_is_Pushing_Merry.png,Is_Teddy_Pushing_Merry.wav,Yes Teddy is Pushing Merry.
12,item_02,Agent,Chloe,Sanndy,Pull,Pull,Billy,Billy,Sanndy_is_Pulling_Billy.png,Is_Chloe_Pulling_Billy.wav,No Sanndy is Pulling Billy.
07,item_01,Control,Kelly,Kelly,Pull,Pull,Ronnie,Ronnie,Kelly_is_Pulling_Ronnie.png,Is_Kelly_Pulling_Ronnie.wav,Yes Kelly is Pulling Ronnie.
71,filler_39,Control,Franny,Franny,Kiss,Kiss,Danny,Danny,Franny_is_Kissing_Danny.png,Is_Franny_Kissing_Danny.wav,Yes Franny is Kissing Danny.
03,item_01,Patient,Kelly,Kelly,Pull,Pull,Ronnie,Wally,Kelly_is_Pulling_Wally.png,Is_Kelly_Pulling_Ronnie.wav,No Kelly is Pulling Wally.
16,item_02,Control,Chloe,Chloe,Pull,Pull,Billy,Billy,Chloe_is_Pulling_Billy.png,Is_Chloe_Pulling_Billy.wav,Yes Chloe is Pulling Billy.
11,item_02,Patient,Chloe,Chloe,Pull,Pull,Billy,Timmy,Chloe_is_Pulling_Timmy.png,Is_Chloe_Pulling_Billy.wav,No Chloe is Pulling Timmy.
66,filler_34,Control,Dory,Dory,Kick,Kick,Cody,Cody,Dory_is_Kicking_Cody.png,Is_Dory_Kicking_Cody.wav,Yes Dory is Kicking Cody.
31,item_04,Control,Annie,Annie,Kick,Kick,Dory,Dory,Annie_is_Kicking_Dory.png,Is_Annie_Kicking_Dory.wav,Yes Annie is Kicking Dory.
08,item_01,Control,Kelly,Kelly,Pull,Pull,Ronnie,Ronnie,Kelly_is_Pulling_Ronnie.png,Is_Kelly_Pulling_Ronnie.wav,Yes Kelly is Pulling Ronnie.
37,filler_05,Patient,Jenny,Jenny,Kick,Kick,Johnny,Eddie,Jenny_is_Kicking_Eddie.png,Is_Jenny_Kicking_Johnny.wav,No Jenny is Kicking Eddie.
42,filler_10,Agent,Lindy,Merry,Kick,Kick,Cody,Cody,Merry_is_Kicking_Cody.png,Is_Lindy_Kicking_Cody.wav,No Merry is Kicking Cody.
27,item_04,Patient,Annie,Annie,Kick,Kick,Dory,Penny,Annie_is_Kicking_Penny.png,Is_Annie_Kicking_Dory.wav,No Annie is Kicking Penny.
35,filler_03,Patient,Kenny,Kenny,Push,Push,Lacey,Carlie,Kenny_is_Pushing_Carlie.png,Is_Kenny_Pushing_Lacey.wav,No Kenny is Pushing Carlie.
06,item_01,Patient,Kelly,Kelly,Pull,Pull,Ronnie,Wally,Kelly_is_Pulling_Wally.png,Is_Kelly_Pulling_Ronnie.wav,No Kelly is Pulling Wally.
50,filler_18,Control,Chloe,Chloe,Poke,Poke,Dory,Dory,Chloe_is_Pokeing_Dory.png,Is_Chloe_Pokeing_Dory.wav,Yes Chloe is Pokeing Dory.
59,filler_27,Control,Mandy,Mandy,Kick,Kick,Jerry,Jerry,Mandy_is_Kicking_Jerry.png,Is_Mandy_Kicking_Jerry.wav,Yes Mandy is Kicking Jerry.
33,filler_01,Verb,Chloe,Chloe,Pull,Lift,Franny,Franny,Chloe_is_Lifting_Franny.png,Is_Chloe_Pulling_Franny.wav,No Chloe is Lifting Franny.
41,filler_09,Patient,Annie,Annie,Kiss,Kiss,Freedy,Ronnie,Annie_is_Kissing_Ronnie.png,Is_Annie_Kissing_Freedy.wav,No Annie is Kissing Ronnie.
34,filler_02,Agent,Johnny,Garry,Lift,Lift,Percy,Percy,Garry_is_Lifting_Percy.png,Is_Johnny_Lifting_Percy.wav,No Garry is Lifting Percy.
