trial_id,filler_or_item_id,position_condition,agent_in_question,agent_in_picture,verb_in_question,verb_in_picture,patient_in_question,patient_in_picture,picture_file,question_file,answer_script
46,filler_14,Control,Lacey,Lacey,Kick,Kick,Percy,Percy,Lacey_is_Kicking_Percy.png,Is_Lacey_Kicking_Percy.wav,Yes Lacey is Kicking Percy.
47,filler_15,Control,Dolly,Dolly,Poke,Poke,Merry,Merry,Dolly_is_Pokeing_Merry.png,Is_Dolly_Pokeing_Merry.wav,Yes Dolly is Pokeing Merry.
48,filler_16,Control,Teddy,Teddy,Push,Push,Merry,Merry,Teddy_is_Pushing_Merry.png,Is_Teddy_Pushing_Merry.wav,Yes Teddy is Pushing Merry.
49,filler_17,Control,Merry,Merry,Pull,Pull,Chloe,Chloe,Merry_is_Pulling_Chloe.png,Is_Merry_Pulling_Chloe.wav,Yes Merry is Pulling Chloe.
50,filler_18,Control,Chloe,Chloe,Poke,Poke,Dory,Dory,Chloe_is_Pokeing_Dory.png,Is_Chloe_Pokeing_Dory.wav,Yes Chloe is Pokeing Dory.
51,filler_19,Control,Teddy,Teddy,Push,Push,Brandy,Brandy,Teddy_is_Pushing_Brandy.png,Is_Teddy_Pushing_Brandy.wav,Yes Teddy is Pushing Brandy.
52,filler_20,Control,Johnny,Johnny,Lift,Lift,Eddie,Eddie,Johnny_is_Lifting_Eddie.png,Is_Johnny_Lifting_Eddie.wav,Yes Johnny is Lifting Eddie.
53,filler_21,Control,Jerry,Jerry,Push,Push,Carlie,Carlie,Jerry_is_Pushing_Carlie.png,Is_Jerry_Pushing_Carlie.wav,Yes Jerry is Pushing Carlie.
54,filler_22,Control,Larry,Larry,Poke,Poke,Judy,Judy,Larry_is_Pokeing_Judy.png,Is_Larry_Pokeing_Judy.wav,Yes Larry is Pokeing Judy.
55,filler_23,Control,Teddy,Teddy,Push,Push,Kelly,Kelly,Teddy_is_Pushing_Kelly.png,Is_Teddy_Pushing_Kelly.wav,Yes Teddy is Pushing Kelly.
56,filler_24,Control,Carlie,Carlie,Pull,Pull,Mary,Mary,Carlie_is_Pulling_Mary.png,Is_Carlie_Pulling_Mary.wav,Yes Carlie is Pulling Mary.
57,filler_25,Control,Pammy,Pammy,Poke,Poke,Dory,Dory,Pammy_is_Pokeing_Dory.png,Is_Pammy_Pokeing_Dory.wav,Yes Pammy is Pokeing Dory.
58,filler_26,Control,Harvey,Harvey,Push,Push,Dolly,Dolly,Harvey_is_Pushing_Dolly.png,Is_Harvey_Pushing_Dolly.wav,Yes Harvey is Pushing Dolly.
59,filler_27,Control,Mandy,Mandy,Kick,Kick,Jerry,Jerry,Mandy_is_Kicking_Jerry.png,Is_Mandy_Kicking_Jerry.wav,Yes Mandy is Kicking Jerry.
60,filler_28,Control,Pammy,Pammy,Kick,Kick,Billy,Billy,Pammy_is_Kicking_Billy.png,Is_Pammy_Kicking_Billy.wav,Yes Pammy is Kicking Billy.
61,filler_29,Control,Annie,Annie,Kiss,Kiss,Corey,Corey,Annie_is_Kissing_Corey.png,Is_Annie_Kissing_Corey.wav,Yes Annie is Kissing Corey.
62,filler_30,Control,Molly,Molly,Pull,Pull,Chloe,Chloe,Molly_is_Pulling_Chloe.png,Is_Molly_Pulling_Chloe.wav,Yes Molly is Pulling Chloe.
63,filler_31,Control,Lacey,Lacey,Kick,Kick,Danny,Danny,Lacey_is_Kicking_Danny.png,Is_Lacey_Kicking_Danny.wav,Yes Lacey is Kicking Danny.
64,filler_32,Control,Jenny,Jenny,Kick,Kick,Ollie,Ollie,Jenny_is_Kicking_Ollie.png,Is_Jenny_Kicking_Ollie.wav,Yes Jenny is Kicking Ollie.
65,filler_33,Control,Jenny,Jenny,Pull,Pull,Dolly,Dolly,Jenny_is_Pulling_Dolly.png,Is_Jenny_Pulling_Dolly.wav,Yes Jenny is Pulling Dolly.
66,filler_34,Control,Dory,Dory,Kick,Kick,Cody,Cody,Dory_is_Kicking_Cody.png,Is_Dory_Kicking_Cody.wav,Yes Dory is Kicking Cody.
67,filler_35,Control,Molly,Molly,Kick,Kick,Ronnie,Ronnie,Molly_is_Kicking_Ronnie.png,Is_Molly_Kicking_Ronnie.wav,Yes Molly is Kicking Ronnie.
68,filler_36,Control,Betty,Betty,Kiss,Kiss,Ollie,Ollie,Betty_is_Kissing_Ollie.png,Is_Betty_Kissing_Ollie.wav,Yes Betty is Kissing Ollie.
69,filler_37,Control,Andy,Andy,Push,Push,Kimmy,Kimmy,Andy_is_Pushing_Kimmy.png,Is_Andy_Pushing_Kimmy.wav,Yes Andy is Pushing Kimmy.
70,filler_38,Control,Mandy,Mandy,Kick,Kick,Teddy,Teddy,Mandy_is_Kicking_Teddy.png,Is_Mandy_Kicking_Teddy.wav,Yes Mandy is Kicking Teddy.
71,filler_39,Control,Franny,Franny,Kiss,Kiss,Danny,Danny,Franny_is_Kissing_Danny.png,Is_Franny_Kissing_Danny.wav,Yes Franny is Kissing Danny.
72,filler_40,Control,Lacey,Lacey,Kiss,Kiss,Percy,Percy,Lacey_is_Kissing_Percy.png,Is_Lacey_Kissing_Percy.wav,Yes Lacey is Kissing Percy.
