trial_id,filler_or_item_id,position_condition,agent_in_picture,agent_in_question,verb_in_picture,verb_in_question,patient_in_picture,patient_in_question,picture_file,question_file,answer_script,question_script
32,item_04,Control,Kelly,Kelly,Pull,Pull,Judy,Judy,KellyIsPullingJudy.png,IsKellyPullingJudy.wav,yes Kelly is pulling Judy,is Kelly pulling Judy
33,filler_01,Control,Cindy,Cindy,Pull,Pull,Penny,Penny,CindyIsPullingPenny.png,IsCindyPullingPenny.wav,yes Cindy is pulling Penny,is Cindy pulling Penny
24,item_03,Control,Joey,Joey,Push,Push,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyPushingKerry.wav,yes Joey is pushing Kerry,is Joey pushing Kerry
07,item_01,Control,Kimmy,Kimmy,Kick,Kick,Tommy,Tommy,KimmyIsKickingTommy.png,IsKimmyKickingTommy.wav,yes Kimmy is kicking Tommy,is Kimmy kicking Tommy
04,item_01,Verb,Kimmy,Kimmy,Kick,Lift,Tommy,Tommy,KimmyIsKickingTommy.png,IsKimmyLiftingTommy.wav,no Kimmy is kicking Tommy,is Kimmy lifting Tommy
53,filler_21,Control,Johnny,Johnny,Push,Push,Carrie,Carrie,JohnnyIsPushingCarrie.png,IsJohnnyPushingCarrie.wav,yes Johnny is pushing Carrie,is Johnny pushing Carrie
23,item_03,Control,Joey,Joey,Push,Push,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyPushingKerry.wav,yes Joey is pushing Kerry,is Joey pushing Kerry
43,filler_11,Control,Ronnie,Ronnie,Push,Push,Molly,Molly,RonnieIsPushingMolly.png,IsRonniePushingMolly.wav,yes Ronnie is pushing Molly,is Ronnie pushing Molly
20,item_03,Verb,Joey,Joey,Push,Kick,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyKickingKerry.wav,no Joey is pushing Kerry,is Joey kicking Kerry
30,item_04,Patient,Kelly,Kelly,Pull,Pull,Judy,Carrie,KellyIsPullingJudy.png,IsKellyPullingCarrie.wav,no Kelly is pulling Judy,is Kelly pulling Carrie
05,item_01,Patient,Kimmy,Kimmy,Kick,Kick,Tommy,Freddy,KimmyIsKickingTommy.png,IsKimmyKickingFreddy.wav,no Kimmy is kicking Tommy,is Kimmy kicking Freddy
28,item_04,Verb,Kelly,Kelly,Pull,Kick,Judy,Judy,KellyIsPullingJudy.png,IsKellyKickingJudy.wav,no Kelly is pulling Judy,is Kelly kicking Judy
38,filler_06,Control,Henry,Henry,Lift,Lift,Ollie,Ollie,HenryIsLiftingOllie.png,IsHenryLiftingOllie.wav,yes Henry is lifting Ollie,is Henry lifting Ollie
01,item_01,Agent,Kimmy,Chloe,Kick,Kick,Tommy,Tommy,KimmyIsKickingTommy.png,IsChloeKickingTommy.wav,no Kimmy is kicking Tommy,is Chloe kicking Tommy
46,filler_14,Control,Chloe,Chloe,Kick,Kick,Jerry,Jerry,ChloeIsKickingJerry.png,IsChloeKickingJerry.wav,yes Chloe is kicking Jerry,is Chloe kicking Jerry
34,filler_02,Control,Henry,Henry,Lift,Lift,Johnny,Johnny,HenryIsLiftingJohnny.png,IsHenryLiftingJohnny.wav,yes Henry is lifting Johnny,is Henry lifting Johnny
42,filler_10,Control,Molly,Molly,Kick,Kick,Timmy,Timmy,MollyIsKickingTimmy.png,IsMollyKickingTimmy.wav,yes Molly is kicking Timmy,is Molly kicking Timmy
40,filler_08,Control,Mindy,Mindy,Kiss,Kiss,Kenny,Kenny,MindyIsKissingKenny.png,IsMindyKissingKenny.wav,yes Mindy is kissing Kenny,is Mindy kissing Kenny
35,filler_03,Control,Teddy,Teddy,Push,Push,Mindy,Mindy,TeddyIsPushingMindy.png,IsTeddyPushingMindy.wav,yes Teddy is pushing Mindy,is Teddy pushing Mindy
08,item_01,Control,Kimmy,Kimmy,Kick,Kick,Tommy,Tommy,KimmyIsKickingTommy.png,IsKimmyKickingTommy.wav,yes Kimmy is kicking Tommy,is Kimmy kicking Tommy
61,filler_29,Control,Nancy,Nancy,Kiss,Kiss,Ollie,Ollie,NancyIsKissingOllie.png,IsNancyKissingOllie.wav,yes Nancy is kissing Ollie,is Nancy kissing Ollie
14,item_02,Patient,Bonnie,Bonnie,Kiss,Kiss,Benny,Ronnie,BonnieIsKissingBenny.png,IsBonnieKissingRonnie.wav,no Bonnie is kissing Benny,is Bonnie kissing Ronnie
58,filler_26,Control,Ollie,Ollie,Push,Push,Lacey,Lacey,OllieIsPushingLacey.png,IsOlliePushingLacey.wav,yes Ollie is pushing Lacey,is Ollie pushing Lacey
27,item_04,Verb,Kelly,Kelly,Pull,Kick,Judy,Judy,KellyIsPullingJudy.png,IsKellyKickingJudy.wav,no Kelly is pulling Judy,is Kelly kicking Judy
62,filler_30,Control,Lilly,Lilly,Pull,Pull,Betty,Betty,LillyIsPullingBetty.png,IsLillyPullingBetty.wav,yes Lilly is pulling Betty,is Lilly pulling Betty
39,filler_07,Control,Cindy,Cindy,Pull,Pull,Brandy,Brandy,CindyIsPullingBrandy.png,IsCindyPullingBrandy.wav,yes Cindy is pulling Brandy,is Cindy pulling Brandy
57,filler_25,Control,Jenny,Jenny,Poke,Poke,Lilly,Lilly,JennyIsPokingLilly.png,IsJennyPokingLilly.wav,yes Jenny is poking Lilly,is Jenny poking Lilly
13,item_02,Patient,Bonnie,Bonnie,Kiss,Kiss,Benny,Freddy,BonnieIsKissingBenny.png,IsBonnieKissingFreddy.wav,no Bonnie is kissing Benny,is Bonnie kissing Freddy
59,filler_27,Control,Sally,Sally,Kick,Kick,Ollie,Ollie,SallyIsKickingOllie.png,IsSallyKickingOllie.wav,yes Sally is kicking Ollie,is Sally kicking Ollie
15,item_02,Control,Bonnie,Bonnie,Kiss,Kiss,Benny,Benny,BonnieIsKissingBenny.png,IsBonnieKissingBenny.wav,yes Bonnie is kissing Benny,is Bonnie kissing Benny
72,filler_40,Control,Chloe,Chloe,Kiss,Kiss,Kenny,Kenny,ChloeIsKissingKenny.png,IsChloeKissingKenny.wav,yes Chloe is kissing Kenny,is Chloe kissing Kenny
44,filler_12,Control,Tracy,Tracy,Pull,Pull,Franny,Franny,TracyIsPullingFranny.png,IsTracyPullingFranny.wav,yes Tracy is pulling Franny,is Tracy pulling Franny
31,item_04,Control,Kelly,Kelly,Pull,Pull,Judy,Judy,KellyIsPullingJudy.png,IsKellyPullingJudy.wav,yes Kelly is pulling Judy,is Kelly pulling Judy
49,filler_17,Control,Lacey,Lacey,Pull,Pull,Franny,Franny,LaceyIsPullingFranny.png,IsLaceyPullingFranny.wav,yes Lacey is pulling Franny,is Lacey pulling Franny
68,filler_36,Control,Vicky,Vicky,Kiss,Kiss,Freddy,Freddy,VickyIsKissingFreddy.png,IsVickyKissingFreddy.wav,yes Vicky is kissing Freddy,is Vicky kissing Freddy
10,item_02,Agent,Bonnie,Sally,Kiss,Kiss,Benny,Benny,BonnieIsKissingBenny.png,IsSallyKissingBenny.wav,no Bonnie is kissing Benny,is Sally kissing Benny
56,filler_24,Control,Jenny,Jenny,Pull,Pull,Mandy,Mandy,JennyIsPullingMandy.png,IsJennyPullingMandy.wav,yes Jenny is pulling Mandy,is Jenny pulling Mandy
09,item_02,Agent,Bonnie,Hailey,Kiss,Kiss,Benny,Benny,BonnieIsKissingBenny.png,IsHaileyKissingBenny.wav,no Bonnie is kissing Benny,is Hailey kissing Benny
37,filler_05,Control,Betty,Betty,Kick,Kick,Timmy,Timmy,BettyIsKickingTimmy.png,IsBettyKickingTimmy.wav,yes Betty is kicking Timmy,is Betty kicking Timmy
71,filler_39,Control,Brandy,Brandy,Kiss,Kiss,Johnny,Johnny,BrandyIsKissingJohnny.png,IsBrandyKissingJohnny.wav,yes Brandy is kissing Johnny,is Brandy kissing Johnny
25,item_04,Agent,Kelly,Jenny,Pull,Pull,Judy,Judy,KellyIsPullingJudy.png,IsJennyPullingJudy.wav,no Kelly is pulling Judy,is Jenny pulling Judy
63,filler_31,Control,Chloe,Chloe,Kick,Kick,Ronnie,Ronnie,ChloeIsKickingRonnie.png,IsChloeKickingRonnie.wav,yes Chloe is kicking Ronnie,is Chloe kicking Ronnie
66,filler_34,Control,Franny,Franny,Kick,Kick,Johnny,Johnny,FrannyIsKickingJohnny.png,IsFrannyKickingJohnny.wav,yes Franny is kicking Johnny,is Franny kicking Johnny
29,item_04,Patient,Kelly,Kelly,Pull,Pull,Judy,Brandy,KellyIsPullingJudy.png,IsKellyPullingBrandy.wav,no Kelly is pulling Judy,is Kelly pulling Brandy
22,item_03,Patient,Joey,Joey,Push,Push,Kerry,Laurie,JoeyIsPushingKerry.png,IsJoeyPushingLaurie.wav,no Joey is pushing Kerry,is Joey pushing Laurie
41,filler_09,Control,Nancy,Nancy,Kiss,Kiss,Harvey,Harvey,NancyIsKissingHarvey.png,IsNancyKissingHarvey.wav,yes Nancy is kissing Harvey,is Nancy kissing Harvey
50,filler_18,Control,Mandy,Mandy,Poke,Poke,Molly,Molly,MandyIsPokingMolly.png,IsMandyPokingMolly.wav,yes Mandy is poking Molly,is Mandy poking Molly
52,filler_20,Control,Danny,Danny,Lift,Lift,Wally,Wally,DannyIsLiftingWally.png,IsDannyLiftingWally.wav,yes Danny is lifting Wally,is Danny lifting Wally
64,filler_32,Control,Betty,Betty,Kick,Kick,Harvey,Harvey,BettyIsKickingHarvey.png,IsBettyKickingHarvey.wav,yes Betty is kicking Harvey,is Betty kicking Harvey
03,item_01,Verb,Kimmy,Kimmy,Kick,Poke,Tommy,Tommy,KimmyIsKickingTommy.png,IsKimmyPokingTommy.wav,no Kimmy is kicking Tommy,is Kimmy poking Tommy
51,filler_19,Control,Henry,Henry,Push,Push,Tracy,Tracy,HenryIsPushingTracy.png,IsHenryPushingTracy.wav,yes Henry is pushing Tracy,is Henry pushing Tracy
60,filler_28,Control,Jenny,Jenny,Kick,Kick,Danny,Danny,JennyIsKickingDanny.png,IsJennyKickingDanny.wav,yes Jenny is kicking Danny,is Jenny kicking Danny
02,item_01,Agent,Kimmy,Carlie,Kick,Kick,Tommy,Tommy,KimmyIsKickingTommy.png,IsCarlieKickingTommy.wav,no Kimmy is kicking Tommy,is Carlie kicking Tommy
70,filler_38,Control,Sally,Sally,Kick,Kick,Kenny,Kenny,SallyIsKickingKenny.png,IsSallyKickingKenny.wav,yes Sally is kicking Kenny,is Sally kicking Kenny
65,filler_33,Control,Betty,Betty,Pull,Pull,Molly,Molly,BettyIsPullingMolly.png,IsBettyPullingMolly.wav,yes Betty is pulling Molly,is Betty pulling Molly
47,filler_15,Control,Laurie,Laurie,Poke,Poke,Sally,Sally,LaurieIsPokingSally.png,IsLauriePokingSally.wav,yes Laurie is poking Sally,is Laurie poking Sally
