,trial_id,supposed_answer_transcript,auto_transcript,status,answer_files
71,55,yes Kenny is pushing Mindy,yes ready is pushing Molly,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_55.wav
73,68,yes Vicky is kissing Freddy,yes way to use poking Vicky,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_68.wav
75,40,yes Mindy is kissing Kenny,Mandy Moore,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_40.wav
76,50,yes Mandy is poking Molly,Tracy McMillan running,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_50.wav
77,44,yes Tracy is pulling Franny,yes daddy jumping volume,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_44.wav
78,52,yes Danny is lifting Wally,eliminating Dairy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_52.wav
82,43,yes Ronnie is pushing Molly,yes Jenny is smoking Lily,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_43.wav
83,57,yes Jenny is poking Lilly,yes Lauren broeking sunny,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_57.wav
84,47,yes Laurie is poking Sally,best Downing person Harry,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_47.wav
85,53,yes Johnny is pushing Carrie,yes Demi Lovato Lily,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_53.wav
86,57,yes Jenny is poking Lilly,Molly,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_57.wav
87,43,yes Ronnie is pushing Molly,yes Johnny is pushing Carey,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_43.wav
88,53,yes Johnny is pushing Carrie,yes Lori is poking salad,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_53.wav
90,46,yes Chloe is kicking Jerry,yes Danny is lifting Raleigh,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_46.wav
91,52,yes Danny is lifting Wally,money picking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_52.wav
92,42,yes Molly is kicking Timmy,yes Mandi,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_42.wav
93,56,yes Jenny is pulling Mandy,yes daddy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_56.wav
94,68,yes Vicky is kissing Freddy,yes,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_68.wav
95,40,yes Mindy is kissing Kenny,yes Lizzy pool Wiki,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_40.wav
96,54,yes Lacey is poking Vicky,yes Tracy is bullying granny,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_54.wav
97,44,yes Tracy is pulling Franny,yes Mandi is poking Molly,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_44.wav
98,50,yes Mandy is poking Molly,yes Andre is pushing Tracy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_50.wav
99,51,yes Henry is pushing Tracy,yes RV is pushing Tracy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_51.wav
100,45,yes Harvey is pushing Tracy,Singh Mehndi,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_45.wav
101,55,yes Kenny is pushing Mindy,yes Nancy kissing,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_55.wav
102,41,yes Nancy is kissing Harvey,yes building sing molding,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_41.wav
103,69,yes Freddy is pushing Molly,LED ring jewelry,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_69.wav
104,26,no Kelly is pulling Judy,Hindi full movie,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_26.wav
105,32,yes Kelly is pulling Judy,no Joe is pushing Carey,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_32.wav
106,22,no Joey is pushing Kerry,yes Brandi is kissing Sammy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_22.wav
108,37,yes Betty is kicking Timmy,yes Joey is pushing Carey,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_37.wav
109,23,yes Joey is pushing Kerry,Cindy pretty penny,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_23.wav
110,33,yes Cindy is pulling Penny,can you bring Duty,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_33.wav
111,27,no Kelly is pulling Judy,bella bling jewelry,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_27.wav
112,31,yes Kelly is pulling Judy,can you play Journey,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_31.wav
113,25,no Kelly is pulling Judy,diagnosing Harry,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_25.wav
114,19,no Joey is pushing Kerry,yes Teddy is pushing Monday,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_19.wav
115,35,yes Teddy is pushing Mindy,no Joey is pushing Carey,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_35.wav
116,21,no Joey is pushing Kerry,no funniest kissing Benny,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_21.wav
118,8,yes Kimmy is kicking Tommy,no Joey is pushing Carey,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_08.wav
120,34,yes Henry is lifting Johnny,dying to see Harry,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_34.wav
121,18,no Joey is pushing Kerry,guess who sings,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_18.wav
122,24,yes Joey is pushing Kerry,can you relate,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_24.wav
123,30,no Kelly is pulling Judy,yes indeed meaning Tamil,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_30.wav
124,8,yes Kimmy is kicking Tommy,Johnny,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_08.wav
125,34,yes Henry is lifting Johnny,heading,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_34.wav
126,20,no Joey is pushing Kerry,no Joey is pushing Carey,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_20.wav
127,18,no Joey is pushing Kerry,note Elliott pulling Judy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_18.wav
128,30,no Kelly is pulling Judy,yes Joey is pushing Carey,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_30.wav
129,24,yes Joey is pushing Kerry,no Kelly is pulling Tootsie,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_24.wav
131,31,yes Kelly is pulling Judy,no Joey is pushing Carey,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_31.wav
132,19,no Joey is pushing Kerry,yes,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_19.wav
133,21,no Joey is pushing Kerry,yes if you sing Hindi,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_21.wav
134,35,yes Teddy is pushing Mindy,Bonnie kissing,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_35.wav
135,9,no Bonnie is kissing Benny,yes no you sing Patty,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_09.wav
136,23,yes Joey is pushing Kerry,yes,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_23.wav
138,27,no Kelly is pulling Judy,yes Cindy is pulling penny,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_27.wav
141,26,no Kelly is pulling Judy,yes Vandy kissing salmon,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_26.wav
142,36,yes Brandy is kissing Sammy,going to sync pairing,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_36.wav
