,trial_id,worker_id,supposed_answer_transcript,auto_transcript,status,answer_files
220,2,A17Q4QN6UE0EZC,no Kimmy is kicking Tommy,no Kimmy's kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A17Q4QN6UE0EZC_prosody_study_exp8_01_25_2020_trial_02.wav
581,2,A3KS8NN4LZ0L4W,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3KS8NN4LZ0L4W_prosody_study_exp8_01_25_2020_trial_02.wav
230,2,A1ICZ6VHY7Y2OY,no Kimmy is kicking Tommy,no giphy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1ICZ6VHY7Y2OY_prosody_study_exp8_01_25_2020_trial_02.wav
575,2,A3S9PVM70FFORD,no Kimmy is kicking Tommy,no it's Kevin kitchen Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3S9PVM70FFORD_prosody_study_exp8_01_25_2020_trial_02.wav
253,2,A3L0DCUXI7X3A9,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3L0DCUXI7X3A9_prosody_study_exp8_01_25_2020_trial_02.wav
266,2,AOWY4TEB0UCMX,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/AOWY4TEB0UCMX_prosody_study_exp8_01_22_2020_trial_02.wav
274,2,AZBVA5LTFNE47,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/AZBVA5LTFNE47_prosody_study_exp8_01_25_2020_trial_02.wav
288,2,A1R5W4RQZTROD8,no Kimmy is kicking Tommy,Timmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1R5W4RQZTROD8_prosody_study_exp8_01_25_2020_trial_02.wav
293,2,A333STM8M95GJX,no Kimmy is kicking Tommy,no Jimmy is picking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A333STM8M95GJX_prosody_study_exp8_01_25_2020_trial_02.wav
521,2,A1U8RH67FLZW87,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1U8RH67FLZW87_prosody_study_exp8_01_22_2020_trial_02.wav
312,2,A2FLOH4DM8A4ZS,no Kimmy is kicking Tommy,no Kimi is picking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2FLOH4DM8A4ZS_prosody_study_exp8_01_25_2020_trial_02.wav
479,2,A16G6PPH1INQL8,no Kimmy is kicking Tommy,no Kami ass-kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A16G6PPH1INQL8_prosody_study_exp8_01_25_2020_trial_02.wav
325,2,A2LBMK0NVVBDFK,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2LBMK0NVVBDFK_prosody_study_exp8_01_25_2020_trial_02.wav
376,2,A28HB7240OFGEW,no Kimmy is kicking Tommy,no timmies chicken tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A28HB7240OFGEW_prosody_study_exp8_01_25_2020_trial_02.wav
564,2,A2WIDLIJ6PVME8,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2WIDLIJ6PVME8_prosody_study_exp8_01_25_2020_trial_02.wav
40,2,A1DNJ17PE2RYJZ,no Kimmy is kicking Tommy,no Timmy is kicking tummy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1DNJ17PE2RYJZ_prosody_study_exp8_01_25_2020_trial_02.wav
645,2,A17FGZ1I5P9RZA,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A17FGZ1I5P9RZA_prosody_study_exp8_01_25_2020_trial_02.wav
251,3,A17Q4QN6UE0EZC,no Kimmy is kicking Tommy,no Kimmy ass-kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A17Q4QN6UE0EZC_prosody_study_exp8_01_25_2020_trial_03.wav
440,3,A2YCMT5BPA0AG9,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2YCMT5BPA0AG9_prosody_study_exp8_01_25_2020_trial_03.wav
520,3,A1U8RH67FLZW87,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1U8RH67FLZW87_prosody_study_exp8_01_22_2020_trial_03.wav
222,3,A3L0DCUXI7X3A9,no Kimmy is kicking Tommy,no Timmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3L0DCUXI7X3A9_prosody_study_exp8_01_25_2020_trial_03.wav
25,3,A1DNJ17PE2RYJZ,no Kimmy is kicking Tommy,no Timmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1DNJ17PE2RYJZ_prosody_study_exp8_01_25_2020_trial_03.wav
336,3,A28HB7240OFGEW,no Kimmy is kicking Tommy,no Kimmie's kitchen Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A28HB7240OFGEW_prosody_study_exp8_01_25_2020_trial_03.wav
464,3,A16G6PPH1INQL8,no Kimmy is kicking Tommy,no Kami is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A16G6PPH1INQL8_prosody_study_exp8_01_25_2020_trial_03.wav
77,3,A2CHDWKAYZ3P3E,no Kimmy is kicking Tommy,no Kami is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2CHDWKAYZ3P3E_prosody_study_exp8_01_25_2020_trial_03.wav
280,3,A2FLOH4DM8A4ZS,no Kimmy is kicking Tommy,no Kimi is taking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2FLOH4DM8A4ZS_prosody_study_exp8_01_25_2020_trial_03.wav
553,3,A2WIDLIJ6PVME8,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2WIDLIJ6PVME8_prosody_study_exp8_01_25_2020_trial_03.wav
207,3,AOWY4TEB0UCMX,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/AOWY4TEB0UCMX_prosody_study_exp8_01_22_2020_trial_03.wav
584,3,A3KS8NN4LZ0L4W,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3KS8NN4LZ0L4W_prosody_study_exp8_01_25_2020_trial_03.wav
267,3,A2LBMK0NVVBDFK,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2LBMK0NVVBDFK_prosody_study_exp8_01_25_2020_trial_03.wav
317,3,AZBVA5LTFNE47,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/AZBVA5LTFNE47_prosody_study_exp8_01_25_2020_trial_03.wav
183,3,A2MWAXV1YRK5GH,no Kimmy is kicking Tommy,no Timmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2MWAXV1YRK5GH_prosody_study_exp8_01_25_2020_trial_03.wav
591,3,A3S9PVM70FFORD,no Kimmy is kicking Tommy,no you can't make it in time,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3S9PVM70FFORD_prosody_study_exp8_01_25_2020_trial_03.wav
298,3,A333STM8M95GJX,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A333STM8M95GJX_prosody_study_exp8_01_25_2020_trial_03.wav
622,3,A17FGZ1I5P9RZA,no Kimmy is kicking Tommy,Timmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A17FGZ1I5P9RZA_prosody_study_exp8_01_25_2020_trial_03.wav
301,3,A1R5W4RQZTROD8,no Kimmy is kicking Tommy,escaping Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1R5W4RQZTROD8_prosody_study_exp8_01_25_2020_trial_03.wav
248,3,A1ICZ6VHY7Y2OY,no Kimmy is kicking Tommy,no Jimmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1ICZ6VHY7Y2OY_prosody_study_exp8_01_25_2020_trial_03.wav
173,4,A333STM8M95GJX,no Kimmy is kicking Tommy,notan is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A333STM8M95GJX_prosody_study_exp8_01_25_2020_trial_04.wav
110,4,A17Q4QN6UE0EZC,no Kimmy is kicking Tommy,no Timmy ass-kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A17Q4QN6UE0EZC_prosody_study_exp8_01_25_2020_trial_04.wav
36,4,A2CHDWKAYZ3P3E,no Kimmy is kicking Tommy,yes Kimmy it's kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2CHDWKAYZ3P3E_prosody_study_exp8_01_25_2020_trial_04.wav
594,4,A17FGZ1I5P9RZA,no Kimmy is kicking Tommy,no Kimi is kicking commie,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A17FGZ1I5P9RZA_prosody_study_exp8_01_25_2020_trial_04.wav
375,4,A16G6PPH1INQL8,no Kimmy is kicking Tommy,yes Kimmy ass-kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A16G6PPH1INQL8_prosody_study_exp8_01_25_2020_trial_04.wav
88,4,A1DNJ17PE2RYJZ,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1DNJ17PE2RYJZ_prosody_study_exp8_01_25_2020_trial_04.wav
108,4,A1ICZ6VHY7Y2OY,no Kimmy is kicking Tommy,no kidney is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1ICZ6VHY7Y2OY_prosody_study_exp8_01_25_2020_trial_04.wav
624,4,A3S9PVM70FFORD,no Kimmy is kicking Tommy,"no,",auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3S9PVM70FFORD_prosody_study_exp8_01_25_2020_trial_04.wav
500,4,A2YCMT5BPA0AG9,no Kimmy is kicking Tommy,yes Kimmy is kicking commie,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2YCMT5BPA0AG9_prosody_study_exp8_01_25_2020_trial_04.wav
203,4,A2LBMK0NVVBDFK,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2LBMK0NVVBDFK_prosody_study_exp8_01_25_2020_trial_04.wav
419,4,A1U8RH67FLZW87,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1U8RH67FLZW87_prosody_study_exp8_01_22_2020_trial_04.wav
159,4,A1R5W4RQZTROD8,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1R5W4RQZTROD8_prosody_study_exp8_01_25_2020_trial_04.wav
156,4,AZBVA5LTFNE47,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/AZBVA5LTFNE47_prosody_study_exp8_01_25_2020_trial_04.wav
480,4,A28HB7240OFGEW,no Kimmy is kicking Tommy,no Timmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A28HB7240OFGEW_prosody_study_exp8_01_25_2020_trial_04.wav
292,4,A2MWAXV1YRK5GH,no Kimmy is kicking Tommy,no Jimmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2MWAXV1YRK5GH_prosody_study_exp8_01_25_2020_trial_04.wav
611,4,A2WIDLIJ6PVME8,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2WIDLIJ6PVME8_prosody_study_exp8_01_25_2020_trial_04.wav
147,4,AOWY4TEB0UCMX,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/AOWY4TEB0UCMX_prosody_study_exp8_01_22_2020_trial_04.wav
188,4,A2FLOH4DM8A4ZS,no Kimmy is kicking Tommy,no kimya sticking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2FLOH4DM8A4ZS_prosody_study_exp8_01_25_2020_trial_04.wav
633,4,A3KS8NN4LZ0L4W,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3KS8NN4LZ0L4W_prosody_study_exp8_01_25_2020_trial_04.wav
134,4,A3L0DCUXI7X3A9,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3L0DCUXI7X3A9_prosody_study_exp8_01_25_2020_trial_04.wav
29,5,A2CHDWKAYZ3P3E,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2CHDWKAYZ3P3E_prosody_study_exp8_01_25_2020_trial_05.wav
113,5,A3L0DCUXI7X3A9,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3L0DCUXI7X3A9_prosody_study_exp8_01_25_2020_trial_05.wav
184,5,A333STM8M95GJX,no Kimmy is kicking Tommy,no Jimmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A333STM8M95GJX_prosody_study_exp8_01_25_2020_trial_05.wav
154,5,A2LBMK0NVVBDFK,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2LBMK0NVVBDFK_prosody_study_exp8_01_25_2020_trial_05.wav
196,5,A1R5W4RQZTROD8,no Kimmy is kicking Tommy,no Kimmy escaping Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1R5W4RQZTROD8_prosody_study_exp8_01_25_2020_trial_05.wav
141,5,A1ICZ6VHY7Y2OY,no Kimmy is kicking Tommy,no Jimmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1ICZ6VHY7Y2OY_prosody_study_exp8_01_25_2020_trial_05.wav
201,5,AZBVA5LTFNE47,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/AZBVA5LTFNE47_prosody_study_exp8_01_25_2020_trial_05.wav
97,5,AOWY4TEB0UCMX,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/AOWY4TEB0UCMX_prosody_study_exp8_01_22_2020_trial_05.wav
416,5,A1U8RH67FLZW87,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1U8RH67FLZW87_prosody_study_exp8_01_22_2020_trial_05.wav
604,5,A2WIDLIJ6PVME8,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2WIDLIJ6PVME8_prosody_study_exp8_01_25_2020_trial_05.wav
132,5,A17Q4QN6UE0EZC,no Kimmy is kicking Tommy,no Kimmy ass-kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A17Q4QN6UE0EZC_prosody_study_exp8_01_25_2020_trial_05.wav
170,5,A2FLOH4DM8A4ZS,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2FLOH4DM8A4ZS_prosody_study_exp8_01_25_2020_trial_05.wav
572,5,A17FGZ1I5P9RZA,no Kimmy is kicking Tommy,Noemi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A17FGZ1I5P9RZA_prosody_study_exp8_01_25_2020_trial_05.wav
634,5,A3KS8NN4LZ0L4W,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3KS8NN4LZ0L4W_prosody_study_exp8_01_25_2020_trial_05.wav
542,5,A2YCMT5BPA0AG9,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2YCMT5BPA0AG9_prosody_study_exp8_01_25_2020_trial_05.wav
643,5,A3S9PVM70FFORD,no Kimmy is kicking Tommy,"no Brenda is not vegan,",auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3S9PVM70FFORD_prosody_study_exp8_01_25_2020_trial_05.wav
337,5,A16G6PPH1INQL8,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A16G6PPH1INQL8_prosody_study_exp8_01_25_2020_trial_05.wav
74,5,A1DNJ17PE2RYJZ,no Kimmy is kicking Tommy,no Kimi is kicking timing,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1DNJ17PE2RYJZ_prosody_study_exp8_01_25_2020_trial_05.wav
463,5,A28HB7240OFGEW,no Kimmy is kicking Tommy,no Kimmy ass-kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A28HB7240OFGEW_prosody_study_exp8_01_25_2020_trial_05.wav
299,5,A2MWAXV1YRK5GH,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2MWAXV1YRK5GH_prosody_study_exp8_01_25_2020_trial_05.wav
616,6,A3S9PVM70FFORD,no Kimmy is kicking Tommy,no Jimmy is teaching Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A3S9PVM70FFORD_prosody_study_exp8_01_25_2020_trial_06.wav
597,6,A1F1BIPJR11LSR,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1F1BIPJR11LSR_prosody_study_exp8_01_25_2020_trial_06.wav
629,6,A2WIDLIJ6PVME8,no Kimmy is kicking Tommy,no Kimi is kicking Sami,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2WIDLIJ6PVME8_prosody_study_exp8_01_25_2020_trial_06.wav
116,6,A2FLOH4DM8A4ZS,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A2FLOH4DM8A4ZS_prosody_study_exp8_01_25_2020_trial_06.wav
48,6,A1DNJ17PE2RYJZ,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1DNJ17PE2RYJZ_prosody_study_exp8_01_25_2020_trial_06.wav
151,6,AOWY4TEB0UCMX,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/AOWY4TEB0UCMX_prosody_study_exp8_01_22_2020_trial_06.wav
135,6,A1R5W4RQZTROD8,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A1R5W4RQZTROD8_prosody_study_exp8_01_25_2020_trial_06.wav
546,6,A17FGZ1I5P9RZA,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A17FGZ1I5P9RZA_prosody_study_exp8_01_25_2020_trial_06.wav
146,6,AZBVA5LTFNE47,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/AZBVA5LTFNE47_prosody_study_exp8_01_25_2020_trial_06.wav
158,6,A16RLUZLJ318F5,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp8/responses_to_analyze/A16RLUZLJ318F5_prosody_study_exp8_01_25_2020_trial_06.wav
